global_round, entropy_ratio, recall, specificity       , average_accuracy   , TP, FP, TN , FN
           1,          0.1 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.15,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.2 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.25,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.3 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.35,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.4 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.45,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.5 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.55,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.6 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.65,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.7 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.75,    0.0, 0.9983606557377049, 0.49918032786885247,  0,  1, 609, 10
           1,          0.8 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           1,          0.85,    0.0, 0.9983606557377049, 0.49918032786885247,  0,  1, 609, 10
           1,          0.9 ,    0.0, 0.9983606557377049, 0.49918032786885247,  0,  1, 609, 10
           1,          0.95,    0.0, 0.9983606557377049, 0.49918032786885247,  0,  1, 609, 10
           1,          1.0 ,    0.0, 1.0               , 0.5                ,  0,  0, 610, 10
           2,          0.1 ,    0.1, 1.0               , 0.55               ,  1,  0, 610,  9
           2,          0.15,    0.2, 1.0               , 0.6                ,  2,  0, 610,  8
           2,          0.2 ,    0.2, 1.0               , 0.6                ,  2,  0, 610,  8
           2,          0.25,    0.4, 1.0               , 0.7                ,  4,  0, 610,  6
           2,          0.3 ,    0.4, 1.0               , 0.7                ,  4,  0, 610,  6
           2,          0.35,    0.4, 0.9983606557377049, 0.6991803278688524 ,  4,  1, 609,  6
           2,          0.4 ,    0.5, 0.9983606557377049, 0.7491803278688525 ,  5,  1, 609,  5
           2,          0.45,    0.4, 0.9983606557377049, 0.6991803278688524 ,  4,  1, 609,  6
           2,          0.5 ,    0.3, 0.9983606557377049, 0.6491803278688525 ,  3,  1, 609,  7
           2,          0.55,    0.3, 0.9983606557377049, 0.6491803278688525 ,  3,  1, 609,  7
           2,          0.6 ,    0.5, 0.9983606557377049, 0.7491803278688525 ,  5,  1, 609,  5
           2,          0.65,    0.5, 0.9983606557377049, 0.7491803278688525 ,  5,  1, 609,  5
           2,          0.7 ,    0.5, 0.9983606557377049, 0.7491803278688525 ,  5,  1, 609,  5
           2,          0.75,    0.6, 1.0               , 0.8                ,  6,  0, 610,  4
           2,          0.8 ,    0.7, 1.0               , 0.85               ,  7,  0, 610,  3
           2,          0.85,    0.6, 0.9983606557377049, 0.7991803278688525 ,  6,  1, 609,  4
           2,          0.9 ,    0.7, 1.0               , 0.85               ,  7,  0, 610,  3
           2,          0.95,    0.8, 0.9983606557377049, 0.8991803278688525 ,  8,  1, 609,  2
           2,          1.0 ,    0.7, 1.0               , 0.85               ,  7,  0, 610,  3
           3,          0.1 ,    0.6, 1.0               , 0.8                ,  6,  0, 610,  4
           3,          0.15,    0.7, 1.0               , 0.85               ,  7,  0, 610,  3
           3,          0.2 ,    0.4, 1.0               , 0.7                ,  4,  0, 610,  6
           3,          0.25,    0.8, 1.0               , 0.9                ,  8,  0, 610,  2
           3,          0.3 ,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           3,          0.35,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           3,          0.4 ,    0.8, 1.0               , 0.9                ,  8,  0, 610,  2
           3,          0.45,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           3,          0.5 ,    0.8, 1.0               , 0.9                ,  8,  0, 610,  2
           3,          0.55,    0.8, 1.0               , 0.9                ,  8,  0, 610,  2
           3,          0.6 ,    0.8, 1.0               , 0.9                ,  8,  0, 610,  2
           3,          0.65,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           3,          0.7 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           3,          0.75,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           3,          0.8 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           3,          0.85,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           3,          0.9 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           3,          0.95,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           3,          1.0 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.1 ,    0.6, 1.0               , 0.8                ,  6,  0, 610,  4
           4,          0.15,    0.7, 1.0               , 0.85               ,  7,  0, 610,  3
           4,          0.2 ,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           4,          0.25,    0.8, 0.9983606557377049, 0.8991803278688525 ,  8,  1, 609,  2
           4,          0.3 ,    0.9, 0.9983606557377049, 0.9491803278688524 ,  9,  1, 609,  1
           4,          0.35,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.4 ,    0.8, 0.9983606557377049, 0.8991803278688525 ,  8,  1, 609,  2
           4,          0.45,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           4,          0.5 ,    0.8, 1.0               , 0.9                ,  8,  0, 610,  2
           4,          0.55,    0.9, 1.0               , 0.95               ,  9,  0, 610,  1
           4,          0.6 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.65,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.7 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.75,    0.9, 0.9983606557377049, 0.9491803278688524 ,  9,  1, 609,  1
           4,          0.8 ,    0.9, 0.9983606557377049, 0.9491803278688524 ,  9,  1, 609,  1
           4,          0.85,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.9 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          0.95,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
           4,          1.0 ,    1.0, 1.0               , 1.0                , 10,  0, 610,  0
