thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.0,1.0,0.5,0,0,1330,10
0.25,0.0,1.0,0.5,0,0,1330,10
0.3,0.0,1.0,0.5,0,0,1330,10
0.35,0.0,1.0,0.5,0,0,1330,10
0.4,0.0,1.0,0.5,0,0,1330,10
0.45,0.1,1.0,0.55,1,0,1330,9
0.5,0.2,1.0,0.6,2,0,1330,8
0.55,0.3,1.0,0.65,3,0,1330,7
0.6,0.4,0.9992481203007518,0.6996240601503759,4,1,1329,6
0.65,0.5,0.9992481203007518,0.7496240601503759,5,1,1329,5
0.7,0.5,0.9992481203007518,0.7496240601503759,5,1,1329,5
0.75,0.5,0.9992481203007518,0.7496240601503759,5,1,1329,5
0.8,0.5,0.9984962406015038,0.7492481203007519,5,2,1328,5
0.85,0.5,0.9969924812030075,0.7484962406015038,5,4,1326,5
0.9,0.6,0.9977443609022556,0.7988721804511278,6,3,1327,4
0.95,0.6,0.9977443609022556,0.7988721804511278,6,3,1327,4
1.0,0.6,0.9977443609022556,0.7988721804511278,6,3,1327,4
