thresh,recall,specificity,average_accuracy,TP,FP,TN,FN
0.1,0.0,1.0,0.5,0,0,1330,10
0.15,0.0,1.0,0.5,0,0,1330,10
0.2,0.1,1.0,0.55,1,0,1330,9
0.25,0.1,1.0,0.55,1,0,1330,9
0.3,0.3,1.0,0.65,3,0,1330,7
0.35,0.4,1.0,0.7,4,0,1330,6
0.4,0.6,1.0,0.8,6,0,1330,4
0.45,0.6,1.0,0.8,6,0,1330,4
0.5,0.6,1.0,0.8,6,0,1330,4
0.55,0.6,1.0,0.8,6,0,1330,4
0.6,0.7,1.0,0.85,7,0,1330,3
0.65,0.7,1.0,0.85,7,0,1330,3
0.7,0.8,1.0,0.9,8,0,1330,2
0.75,0.9,1.0,0.95,9,0,1330,1
0.8,0.9,0.9984962406015038,0.9492481203007519,9,2,1328,1
0.85,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
0.9,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
0.95,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
1.0,1.0,0.9984962406015038,0.9992481203007519,10,2,1328,0
