
##################################################
Entropy Ratio = 0.1
##################################################

==================================================
Label Mapping Summary:
Global ID = 2  | from: client_11: '0', client_12: '0', client_14: '0', client_19: 'O', client_20: 'o', client_8: '0'
Global ID = 3  | from: client_11: '3', client_12: '3', client_18: '3', client_2: '3', client_20: '3', client_4: '3', client_7: '3'
Global ID = 4  | from: client_11: 'T', client_12: 'T', client_14: 'T', client_16: 'T', client_20: 'T'
Global ID = 5  | from: client_11: 'z', client_12: 'Z', client_15: 'z', client_16: 'Z'
Global ID = 6  | from: client_11: 'E', client_13: 'E', client_14: 'E', client_18: 'E'
Global ID = 8  | from: client_11: 'm', client_13: 'm', client_15: 'M', client_20: 'M'
Global ID = 9  | from: client_11: 'n', client_13: 'n', client_19: 'n'
Global ID = 10 | from: client_11: 'x', client_13: 'X', client_15: 'X', client_17: 'x'
Global ID = 12 | from: client_11: 'U', client_18: 'U'
Global ID = 13 | from: client_11: 'A', client_20: 'A'
Global ID = 14 | from: client_12: 'F', client_13: 'F', client_15: 'F', client_16: 'f', client_18: 'f'
Global ID = 15 | from: client_12: '6', client_14: '6', client_3: '6', client_4: '6', client_7: '6', client_8: '6', client_9: '6'
Global ID = 16 | from: client_1: '5', client_11: 'S', client_12: '5', client_13: 's', client_15: '5', client_16: 'S', client_17: 'S', client_19: '5', client_4: '5', client_6: '5', client_9: '5'
Global ID = 17 | from: client_12: 'B', client_15: 'B', client_17: 'B', client_18: 'B'
Global ID = 18 | from: client_12: 'N', client_15: 'N'
Global ID = 19 | from: client_12: 'l', client_13: 'i', client_15: '1', client_16: 'l', client_18: '1', client_19: 'i', client_5: '1', client_8: '1'
Global ID = 20 | from: client_12: 'b', client_18: 'b'
Global ID = 21 | from: client_12: 'j', client_18: 'j'
Global ID = 22 | from: client_13: 'V', client_14: 'V', client_16: 'V', client_19: 'v', client_20: 'v'
Global ID = 23 | from: client_13: 'G', client_15: 'G', client_17: 'G'
Global ID = 24 | from: client_0: '2', client_1: '6', client_11: 'I', client_12: 'q', client_13: 'q', client_14: 'I', client_18: 'g', client_19: 'g', client_2: '9', client_20: 'q', client_24: 'airplane', client_25: 'bird', client_26: 'airplane', client_28: 'dog', client_29: 'ship', client_3: '1', client_31: 'ship', client_5: '9', client_8: '2', client_9: '9'
Global ID = 25 | from: client_13: 'H', client_19: 'H'
Global ID = 26 | from: client_13: 'L', client_19: 'L', client_20: 'L'
Global ID = 27 | from: client_13: 'D', client_14: 'D'
