
##################################################
Entropy Ratio = 0.1
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane'
Global ID = 1  | from: client_22: 'automobile'
Global ID = 2  | from: client_22: 'bird'
Global ID = 3  | from: client_22: 'cat'
Global ID = 4  | from: client_22: 'dog'
Global ID = 5  | from: client_22: 'frog'
Global ID = 6  | from: client_23: 'airplane'
Global ID = 7  | from: client_23: 'bird'
Global ID = 8  | from: client_23: 'cat'
Global ID = 9  | from: client_23: 'deer'
Global ID = 10 | from: client_23: 'frog'
Global ID = 11 | from: client_23: 'horse'
Global ID = 12 | from: client_24: 'deer'
Global ID = 13 | from: client_24: 'dog'
Global ID = 14 | from: client_25: 'airplane'
Global ID = 15 | from: client_25: 'automobile'
Global ID = 16 | from: client_25: 'bird'
Global ID = 17 | from: client_25: 'deer'
Global ID = 18 | from: client_25: 'horse'
Global ID = 19 | from: client_25: 'ship'
Global ID = 20 | from: client_25: 'truck'
Global ID = 21 | from: client_26: 'airplane'
Global ID = 22 | from: client_26: 'cat'
Global ID = 23 | from: client_26: 'frog'
Global ID = 24 | from: client_26: 'horse'
Global ID = 25 | from: client_26: 'ship'
Global ID = 26 | from: client_26: 'truck'
Global ID = 27 | from: client_27: 'airplane'
Global ID = 28 | from: client_27: 'automobile'
Global ID = 29 | from: client_27: 'bird'
Global ID = 30 | from: client_27: 'deer'
Global ID = 31 | from: client_27: 'dog'
Global ID = 32 | from: client_27: 'frog'
Global ID = 33 | from: client_27: 'horse'
Global ID = 34 | from: client_27: 'ship'
Global ID = 35 | from: client_28: 'airplane'
Global ID = 36 | from: client_28: 'automobile'
Global ID = 37 | from: client_28: 'cat'
Global ID = 38 | from: client_28: 'dog'
Global ID = 39 | from: client_28: 'horse'
Global ID = 40 | from: client_28: 'truck'
Global ID = 41 | from: client_29: 'bird'
Global ID = 42 | from: client_29: 'horse'
Global ID = 43 | from: client_29: 'ship'
Global ID = 44 | from: client_29: 'truck'
Global ID = 45 | from: client_30: 'dog'
Global ID = 46 | from: client_30: 'frog'
Global ID = 47 | from: client_30: 'horse'
Global ID = 48 | from: client_30: 'ship'
Global ID = 49 | from: client_31: 'airplane'
Global ID = 50 | from: client_31: 'automobile'
Global ID = 51 | from: client_31: 'bird'
Global ID = 52 | from: client_31: 'cat'
Global ID = 53 | from: client_31: 'deer'
Global ID = 54 | from: client_31: 'dog'
Global ID = 55 | from: client_31: 'frog'
Global ID = 56 | from: client_31: 'horse'
Global ID = 57 | from: client_31: 'ship'
Global ID = 58 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.2
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_26: 'truck', client_29: 'truck'
Global ID = 1  | from: client_22: 'airplane'
Global ID = 2  | from: client_22: 'automobile'
Global ID = 3  | from: client_22: 'bird'
Global ID = 4  | from: client_22: 'cat'
Global ID = 5  | from: client_22: 'dog'
Global ID = 6  | from: client_22: 'frog'
Global ID = 7  | from: client_23: 'airplane'
Global ID = 8  | from: client_23: 'bird'
Global ID = 9  | from: client_23: 'cat'
Global ID = 10 | from: client_23: 'deer'
Global ID = 11 | from: client_23: 'frog'
Global ID = 12 | from: client_23: 'horse'
Global ID = 13 | from: client_24: 'deer'
Global ID = 14 | from: client_24: 'dog'
Global ID = 15 | from: client_25: 'airplane'
Global ID = 16 | from: client_25: 'automobile'
Global ID = 17 | from: client_25: 'bird'
Global ID = 18 | from: client_25: 'deer'
Global ID = 19 | from: client_25: 'horse'
Global ID = 20 | from: client_25: 'ship'
Global ID = 21 | from: client_25: 'truck'
