thresh,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
0.65,0.2,1.0,1.0,0.6,0.33333333333333337,0.4458746296340156,2,0,1330,8
0.7,0.3,1.0,1.0,0.65,0.4615384615384615,0.5462868471524166,3,0,1330,7
0.75,0.5,0.9992481203007518,0.8333333333333334,0.7496240601503759,0.625,0.6435595197197483,5,1,1329,5
0.8,0.5,0.9992481203007518,0.8333333333333334,0.7496240601503759,0.625,0.6435595197197483,5,1,1329,5
0.85,0.7,1.0,1.0,0.85,0.8235294117647058,0.8357180183240863,7,0,1330,3
0.9,0.8,0.9984962406015038,0.8,0.8992481203007519,0.8000000000000002,0.7984962406015037,8,2,1328,2
0.95,0.8,0.9984962406015038,0.8,0.8992481203007519,0.8000000000000002,0.7984962406015037,8,2,1328,2
1.0,0.7,0.9984962406015038,0.7777777777777778,0.8492481203007518,0.7368421052631577,0.7360030449049484,7,2,1328,3
